city_names,temp
abohar,25.737
adoni,29.5455
agartala,27.036999
agra,26.446
agwar,26.446
ahmadnagar,27.286
ahmedabad,31.674002
aizawl,23.477001
ajmer,27.16
akola,29.8065
alasandigutta,29.513
aligarh,25.0065
alleppey,30.509
alwal,27.289
alwar,27.012001
ambattur,27.5175
amravati,29.554
amritsar,23.0545
amroha,25.595499
anand,32.037
anantapur,29.565
arrah,27.963001
asansol,28.832499
aurangabad,27.923
avadi,27.872002
bada barabil,24.192
baharampur,29.3935
bahraigh,26.3305
bali,27.5065
bangalore,25.596
bankura,28.528
barakpur,27.6805
baramula,11.846499
barasat,27.987
barddhaman,28.706501
bareilly,25.6655
batala,22.345499
beawar,27.377998
bellary,29.4205
betigeri,26.932
bettiah,28.2325
bhadravati,26.793
bhagalpur,28.17
bhalswa jahangirpur,25.113
bhangar,27.417501
bharatpur,26.3195
bharuch,32.4565
bhatinda,25.2695
bhatpara,27.6435
bhavnagar,31.5025
bhayandar,33.7465
bhilai,27.8715
bhilai01,27.637
bhilwara,27.7475
bhimavaram,26.630499
bhind,26.724
bhiwandi,33.8065
bhiwani,25.587
bhopal,27.230999
bhubaneshwar,28.6025
bhusaval,32.035
bidar,26.6685
bihar,27.3045
bijapur,27.9155
bikaner,29.046
bilaspur,27.632
bir,27.543499
bongaigaon,27.778
brahmapur,27.822
budaun,25.113
bulandshahr,25.6935
burhanpur,31.511
byatarayanpur,25.5415
calicut,32.5515
cannanore,32.872
cawnpore,26.435
chakradharpur,26.997
chanda,31.0845
chandannagar,27.6175
chandigarh,24.6805
chapra,27.337
chas,28.194
chennai,27.113
chhatarpur,27.8025
chhindwara,25.8675
chicacole,26.687
chinchvad,28.865
chirala,28.8675
chitaldrug,25.447
chittandikavundanur,32.21
chittoor,28.697
coimbatore,28.4835
conjeeveram,27.476
cuddalore,26.9805
cuddapah,28.942
cuttack,28.4935
dam dam,27.404501
darbhanga,28.863
dasarhalli,25.574001
davangere,26.9505
dehra dun,22.9615
dehri,27.3045
delhi cantonment,25.2435
delhi,25.993
deo,27.1665
deoghar,27.963001
dewas,27.3045
dhanbad,28.0655
dhulia,30.6905
dinapore,27.2565
dindigul,28.761
drabar,8.399
drug,27.228498
durgapur,28.483
ellore,30.380499
erode,30.1535
etah,25.575998
etawah,25.872002
faridabad,26.541
farrukhabad,25.5415
fatehpur,27.113
fyzabad,26.798
gadag,26.815
gadda madiral,29.5845
ganganagar,26.4805
gaya,28.1325
ghandinagar,31.154501
ghaziabad,25.4285
godhra,29.861
gokak,27.579
gorakhpur,27.0
gulbarga,29.634499
guna,28.337
guntur,30.387
gurgaon,25.317001
guwahati,28.7125
gwalior,27.4935
habra,28.1
haldia,27.5935
handwara,12.679
hanumangarh,26.187
haora,27.474
hapur,24.7675
haridwar,24.5415
hazaribagh,24.932
himatnagar,30.3675
hindupur,26.088999
hisar,25.237
hoshangabad,29.2825
hospet,28.592499
hosur,24.936499
hugli,27.6175
hyderabad,28.221
ichalkaranji,27.4955
imphal,23.834
indore,27.387
ingraj bazar,29.4
jabalpur,28.667501
jaipur,27.305
jalandhar,22.963001
jalgaon,31.4585
jalna,28.217001
jamshedpur,27.532
jaunpur,27.824001
jind,23.961
jodhpur,29.561
junagadh,32.1725
kaithal,23.8935
kakinada,24.6435
kalamboli,34.017002
kalkaji devi,26.007
kamarhati,27.630499
kanchrapara,27.7675
kapra,28.0175
karaikkudi,29.207
karimnagar,28.6915
karnal,23.5935
karur,30.7035
katri,27.199
khammam,32.076
khandwa,30.029999
khanna,23.869501
kharagpur,27.6175
khatima,25.77
kichha,25.8995
kiratot,15.261
kochi,29.457
koiridih,27.728498
kolar,24.793
kolhapur,27.523
kolkata,27.404501
korba,27.5005
kota,28.321001
kotdwara,23.9795
kottayam,33.745502
krishnanagar,29.3675
kukatpalli,27.5545
kumbakonam,28.3545
kurnool,30.390999
lingampalli,27.389
loni,24.963001
lucknow,27.2
ludhiana,23.622002
machilipatnam,27.4935
madanapalle,24.664
madhyamgram,27.637
madurai,30.005001
mahad,33.548
mahbubnagar,27.723001
mahesana,31.6525
maldah,29.4065
maler kotla,24.0325
malkajgiri,28.088999
mandsaur,28.1175
mandvi,33.701
mandya,28.6845
mangalore,32.5955
masaurhi buzurg,27.913
mathura,25.137
mau,27.780499
mauli,24.1065
meerut,25.067501
mirzapur,27.5
moga,23.7325
mokameh,27.5415
monghyr,27.991499
moradabad,26.828499
morbi,32.7105
morena,26.461
mothihari,28.091
mukerian,22.0805
multai,25.835
mumbai,32.4995
muzaffarpur,28.3045
nadiad,31.286999
nagercoil,32.7365
nagpur,28.885
naihati,27.624
najafgarh,24.786999
nalgonda,30.4655
nanded,29.591
nandyal,31.926498
nangloi jat,24.585
narela,24.3915
narnaul,26.7955
nasik,27.613
nellore,27.825998
new delhi,25.582499
neyveli,27.55
nizamabad,28.8345
noida,26.2475
nowgong,29.011501
ongole,28.5065
orai,26.9305
oulgaret,27.431
padiala,24.0585
palghat,32.751003
pali,29.75
pallavaram,27.27
panchkula,24.661001
pandharpur,29.015001
pandhurna,27.0475
panihati,27.624
panipat,23.861
panvel,33.6675
parbhani,29.1395
pathankot,22.1975
pathardi,27.477001
patiala,23.963001
patna,26.991499
petlad,32.413002
prayagraj,27.404501
proddatur,30.469501
puducherry,27.088999
pulimaddi,31.926498
pune,29.014
puri,25.1415
quilon,30.424002
rae bareli,28.2
raichur,28.5395
raiganj,30.026
raipur,27.883
rajahmundry,26.965
rajapalaiyam,30.8265
rajendranagar,27.6845
rajkot,32.174
ramgundam,29.6625
rampur,26.498
ranchi,24.6585
rasulpur,26.2475
ratlam,28.598
ratnagiri,32.5535
raurkela,28.572
