city_names,temp
abohar,26.587
adoni,28.4455
agartala,28.937
agra,28.096
agwar,28.096
ahmadnagar,29.486
ahmedabad,32.724
aizawl,24.777
ajmer,30.06
akola,30.206501
alasandigutta,28.413
aligarh,27.6065
alleppey,28.709
alwal,27.789
alwar,29.962
ambattur,27.667501
amravati,29.854
amritsar,27.2545
amroha,26.845499
anand,33.086998
anantapur,27.965
arrah,28.663
asansol,29.3825
aurangabad,30.123001
avadi,27.822
bada barabil,27.192
baharampur,29.5935
bahraigh,27.5805
bali,29.2565
bangalore,25.446
bankura,29.328
barakpur,29.380499
baramula,14.3965
barasat,29.286999
barddhaman,29.1565
bareilly,26.6655
batala,26.3955
beawar,31.377998
bellary,28.7705
betigeri,28.282
bettiah,28.2825
bhadravati,28.843
bhagalpur,28.42
bhalswa jahangirpur,29.363
bhangar,29.2675
bharatpur,28.4195
bharuch,33.4565
bhatinda,26.1695
bhatpara,29.2435
bhavnagar,32.2525
bhayandar,35.2965
bhilai,29.7215
bhilai01,29.887
bhilwara,29.4475
bhimavaram,28.4305
bhind,29.224
bhiwandi,35.4065
bhiwani,28.337
bhopal,27.880999
bhubaneshwar,29.7525
bhusaval,31.484999
bidar,26.9685
bihar,28.3545
bijapur,29.015501
bikaner,28.146
bilaspur,29.682
bir,30.043499
bongaigaon,28.127998
brahmapur,29.172
budaun,26.763
bulandshahr,27.6435
burhanpur,30.911001
byatarayanpur,25.6415
calicut,29.5015
cannanore,27.472
cawnpore,27.185
chakradharpur,27.796999
chanda,31.0845
chandannagar,29.2175
chandigarh,27.5805
chapra,28.587
chas,28.544
chennai,27.313
chhatarpur,28.2525
chhindwara,28.067501
chicacole,28.237
chinchvad,30.065
chirala,28.1175
chitaldrug,25.447
chittandikavundanur,28.310001
chittoor,26.796999
coimbatore,26.8835
conjeeveram,27.626
cuddalore,27.4305
cuddapah,28.842
cuttack,29.8435
dam dam,29.2545
darbhanga,28.313
dasarhalli,25.674002
davangere,27.5005
dehra dun,24.1115
dehri,28.2545
delhi cantonment,28.9435
delhi,28.692999
deo,28.716501
deoghar,27.813
dewas,28.3045
dhanbad,28.4155
dhulia,31.1405
dinapore,28.3565
dindigul,28.311
drabar,10.599001
drug,29.828499
durgapur,29.083
ellore,28.6805
erode,29.5535
etah,27.376
etawah,28.072
faridabad,27.991
farrukhabad,26.991499
fatehpur,28.063
fyzabad,27.698
gadag,28.165
gadda madiral,28.8345
ganganagar,26.4305
gaya,28.682499
ghandinagar,32.054497
ghaziabad,27.728498
godhra,31.161001
gokak,30.029001
gorakhpur,28.4
gulbarga,29.484499
guna,27.887
guntur,27.637
gurgaon,29.267
guwahati,29.2625
gwalior,28.9435
habra,29.3
haldia,29.1435
handwara,15.029
hanumangarh,26.587
haora,29.224
hapur,27.2675
haridwar,26.491499
hazaribagh,26.231998
himatnagar,30.917501
hindupur,26.689
hisar,28.087
hoshangabad,29.2325
hospet,28.592499
hosur,24.186499
hugli,29.2175
hyderabad,28.621
ichalkaranji,29.1955
imphal,26.484
indore,28.487
ingraj bazar,28.75
jabalpur,29.2175
jaipur,28.455
jalandhar,27.863
jalgaon,31.008501
jalna,30.567001
jamshedpur,29.432
jaunpur,28.374
jind,27.811
jodhpur,31.261
junagadh,32.822502
kaithal,27.4435
kakinada,26.4935
kalamboli,35.467
kalkaji devi,28.007
kamarhati,29.3305
kanchrapara,29.2675
kapra,28.417501
karaikkudi,28.707
karimnagar,28.741499
karnal,27.4935
karur,29.4035
katri,28.699
khammam,28.575998
khandwa,30.08
khanna,26.969501
kharagpur,29.3675
khatima,25.820002
kichha,26.0995
kiratot,15.311001
kochi,28.007
koiridih,28.0285
kolar,24.393
kolhapur,28.923
kolkata,29.2545
korba,29.4005
kota,29.571001
kotdwara,25.7795
kottayam,29.1955
krishnanagar,29.317501
kukatpalli,28.5545
kumbakonam,28.0545
kurnool,28.441
lingampalli,28.489
loni,28.463001
lucknow,27.75
ludhiana,27.022001
machilipatnam,27.543499
madanapalle,24.764
madhyamgram,29.337
madurai,29.105
mahad,35.298
mahbubnagar,28.223001
mahesana,30.7025
maldah,28.7565
maler kotla,26.432499
malkajgiri,28.489
mandsaur,29.2675
mandvi,35.251003
mandya,26.634499
mangalore,30.1455
masaurhi buzurg,28.163
mathura,28.387
mau,28.5805
mauli,26.7565
meerut,27.2175
mirzapur,29.65
moga,26.8825
mokameh,28.5915
monghyr,28.1415
moradabad,26.728498
morbi,32.7105
morena,28.461
mothihari,28.341
mukerian,26.280499
multai,28.385
mumbai,33.849503
muzaffarpur,28.5045
