city_names,temp
abohar,34.937
adoni,28.7455
agartala,31.786999
agra,34.046
agwar,34.046
ahmadnagar,27.935999
ahmedabad,32.024
aizawl,25.126999
ajmer,33.559998
akola,31.6065
alasandigutta,28.713001
aligarh,33.5065
alleppey,26.959
alwal,28.939
alwar,34.762
ambattur,31.917501
amravati,31.804
amritsar,33.804497
amroha,32.695503
anand,31.137
anantapur,29.865
arrah,31.513
asansol,32.5325
aurangabad,28.273
avadi,31.972
bada barabil,30.741999
baharampur,31.5935
bahraigh,31.780499
bali,32.1065
bangalore,25.396
bankura,32.728
barakpur,31.9805
baramula,25.2965
barasat,32.336998
barddhaman,32.0065
bareilly,32.1155
batala,32.945503
beawar,33.528
bellary,28.9705
betigeri,28.081999
bettiah,31.832499
bhadravati,25.893
bhagalpur,31.320002
bhalswa jahangirpur,34.813
bhangar,31.7175
bharatpur,34.7695
bharuch,29.8565
bhatinda,34.7695
bhatpara,32.4935
bhavnagar,30.1525
bhayandar,28.9965
bhilai,32.8715
bhilai01,32.437
bhilwara,32.4975
bhimavaram,32.2305
bhind,34.073997
bhiwandi,29.4065
bhiwani,35.987
bhopal,31.681
bhubaneshwar,33.0525
bhusaval,30.285
bidar,28.0685
bihar,31.904501
bijapur,27.9655
bikaner,37.396
bilaspur,32.332
bir,28.6935
bongaigaon,31.028
brahmapur,32.672
budaun,32.463
bulandshahr,33.4935
burhanpur,30.011
byatarayanpur,25.6415
calicut,27.6515
cannanore,27.622002
cawnpore,32.685
chakradharpur,32.597
chanda,32.2345
chandannagar,32.4675
chandigarh,33.7305
chapra,31.687
chas,32.094
chennai,31.563
chhatarpur,32.4025
chhindwara,29.817501
chicacole,32.737
chinchvad,28.915
chirala,32.767498
chitaldrug,26.847
chittandikavundanur,26.960001
chittoor,31.897
coimbatore,26.5835
conjeeveram,31.626
cuddalore,31.380499
cuddapah,31.142
cuttack,33.1935
dam dam,31.7045
darbhanga,31.763
dasarhalli,25.674002
davangere,27.8005
dehra dun,28.8115
dehri,30.4545
delhi cantonment,34.2935
delhi,34.243
deo,31.3165
deoghar,31.113
dewas,30.4545
dhanbad,32.0155
dhulia,29.290499
dinapore,31.6065
dindigul,28.461
drabar,20.549
drug,32.328503
durgapur,32.333
ellore,32.8805
erode,28.5535
etah,32.976
etawah,33.372
faridabad,34.190998
farrukhabad,32.9915
fatehpur,32.413002
fyzabad,31.898
gadag,27.965
gadda madiral,30.984499
ganganagar,35.580498
gaya,30.932499
ghandinagar,31.904501
ghaziabad,33.8785
godhra,30.661001
gokak,29.179
gorakhpur,31.7
gulbarga,28.8345
guna,31.837
guntur,32.037
gurgaon,34.667
guwahati,31.0125
gwalior,34.3435
habra,32.3
haldia,31.4435
handwara,25.428999
hanumangarh,35.737
haora,32.024
hapur,33.1175
haridwar,32.1915
hazaribagh,29.081999
himatnagar,31.9675
hindupur,27.989
hisar,36.086998
hoshangabad,32.2825
hospet,29.0425
hosur,25.8865
hugli,32.4675
hyderabad,29.521
ichalkaranji,28.9955
imphal,29.234
indore,30.437
ingraj bazar,31.7
jabalpur,31.667501
jaipur,34.405
jalandhar,33.713
jalgaon,30.258501
jalna,28.717001
jamshedpur,32.781998
jaunpur,31.224
jind,34.211
jodhpur,35.310997
junagadh,30.522501
kaithal,33.3435
kakinada,32.0935
kalamboli,29.617
kalkaji devi,33.956997
kamarhati,31.9805
kanchrapara,32.4175
kapra,29.1175
karaikkudi,28.357
karimnagar,30.8915
karnal,33.2435
karur,28.4035
katri,31.049
khammam,32.626
khandwa,31.279999
khanna,33.669502
kharagpur,32.317497
khatima,31.220001
kichha,32.9995
kiratot,23.461
kochi,26.307001
koiridih,31.328499
kolar,27.143
kolhapur,28.773
kolkata,31.7045
korba,31.9005
kota,33.371002
kotdwara,31.4295
kottayam,26.7455
krishnanagar,32.4675
kukatpalli,29.0545
kumbakonam,29.3545
kurnool,30.241
lingampalli,29.088999
loni,33.863
lucknow,32.15
ludhiana,33.872
machilipatnam,31.9435
madanapalle,29.164
madhyamgram,31.987
madurai,31.105
mahad,31.048
mahbubnagar,29.023
mahesana,31.8525
maldah,31.706501
maler kotla,34.0825
malkajgiri,29.189
mandsaur,31.6175
mandvi,28.951
mandya,27.1845
mangalore,28.345499
masaurhi buzurg,31.413
mathura,34.237
mau,31.3305
mauli,33.0065
meerut,33.067497
mirzapur,31.75
moga,34.2825
mokameh,32.4415
monghyr,31.991499
moradabad,33.6285
morbi,32.3605
morena,34.310997
mothihari,32.041
mukerian,31.9305
multai,29.585
mumbai,28.6495
muzaffarpur,32.3545
nadiad,31.437
nagercoil,29.5865
nagpur,31.685
naihati,32.474
najafgarh,34.737
nalgonda,32.4155
nanded,30.991
nandyal,30.776499
nangloi jat,34.335003
narela,33.7415
narnaul,35.6455
nasik,27.613
nellore,33.976
new delhi,34.932503
neyveli,31.0
nizamabad,30.5345
noida,34.1975
nowgong,30.7115
ongole,34.1565
orai,34.4805
oulgaret,31.331
padiala,33.7085
palghat,27.101
pali,33.95
pallavaram,31.67
panchkula,33.711
pandharpur,29.415
pandhurna,32.6975
panihati,31.974
panipat,33.260998
panvel,30.4175
parbhani,30.0895
pathankot,31.2475
pathardi,28.427
patiala,34.313
patna,31.5915
petlad,31.163
prayagraj,31.8545
proddatur,31.0695
puducherry,31.239
pulimaddi,30.776499
pune,28.714
puri,30.1915
quilon,27.724
rae bareli,32.3
raichur,29.1395
raiganj,31.526
raipur,32.633
rajahmundry,32.215
rajapalaiyam,31.4765
rajendranagar,29.4345
rajkot,31.624
ramgundam,31.0625
rampur,33.698
ranchi,29.3585
rasulpur,34.1975
ratlam,30.498
ratnagiri,29.0535
raurkela,32.172
rewa,31.63
rewari,35.911
robertsonpet,27.066
rudarpur,33.632
saharanpur,33.440998
saharsa,31.4935
salem,27.363
salt lake city,31.724
sambalpur,31.9455
sambhal,32.539
sangli,29.081999
sannai,31.825998
sardarshahr,37.526
sasaram,30.0885
satna,31.8065
saugor,31.436499
secunderabad,29.1565
shahjanpur,32.0305
shantipur,32.3435
shiliguri,30.213501
shillong,22.998
shimla,20.723999
shimoga,27.002
shivpuri,32.1155
shorapur,29.019499
shrirampur,31.9935
sikandarabad,33.461
sikar,35.932
silchar,31.926498
sirsa,34.874
sirur,28.131498
sitarganj,32.390003
siwan,31.706501
solapur,28.472
songadh,29.516
sonipat,33.711
sonpur,31.9675
soro,32.661
srinagar,25.8315
sultanpur mazra,34.348003
surat,29.111
tambaram,31.976
tanjore,28.4805
tenali,31.7915
thane,29.317001
tharad,33.396
thiruvananthapuram,28.069
tiptur,25.563
tiruppur,27.603
tiruvannamalai,31.6045
tiruvottiyur,31.9
titagarh,31.974
trichinopoly,28.8505
trichur,26.6435
tumkur,26.08
tuticorin,33.2065
udaipur,31.5025
udipi,28.48
ujjain,31.075998
ulhasnagar,29.617
uluberiya,32.1565
umreth,31.011
unnao,32.6175
uttarpara,32.080498
vadodara,30.4675
valsad,28.8
varanasi,30.95
vasai,28.484999
vellore,31.471
vidisha,32.4415
vijayawada,32.385002
vishakhapatnam,32.1495
vizianagaram,33.6305
wapi,29.2545
warangal,31.4585
waraseoni,32.823997
yamunanagar,33.696
