city_names,temp
abohar,30.437
adoni,30.095499
agartala,33.737
agra,29.146
agwar,29.146
ahmadnagar,28.486
ahmedabad,29.974
aizawl,28.227001
ajmer,29.86
akola,28.3565
alasandigutta,30.063
aligarh,30.1065
alleppey,28.709
alwal,28.338999
alwar,30.062
ambattur,32.4175
amravati,27.854
amritsar,30.5045
amroha,30.4955
anand,29.536999
anantapur,32.414997
arrah,31.963001
asansol,32.182503
aurangabad,28.123001
avadi,32.772
bada barabil,30.142
baharampur,32.8435
bahraigh,30.1805
bali,32.6065
bangalore,28.046
bankura,32.228
barakpur,32.6305
baramula,25.3465
barasat,32.787
barddhaman,32.6065
bareilly,30.015501
batala,30.345499
beawar,30.227999
bellary,31.8705
betigeri,28.481998
bettiah,31.9825
bhadravati,28.093
bhagalpur,32.62
bhalswa jahangirpur,30.763
bhangar,32.6675
bharatpur,30.3195
bharuch,29.0065
bhatinda,30.6695
bhatpara,32.6435
bhavnagar,29.6025
bhayandar,29.3965
bhilai,29.921501
bhilai01,29.187
bhilwara,30.2475
bhimavaram,30.780499
bhind,29.374
bhiwandi,29.6065
bhiwani,30.987
bhopal,28.331
bhubaneshwar,31.3525
bhusaval,30.234999
bidar,27.1685
bihar,32.004498
bijapur,28.615501
bikaner,29.746
bilaspur,28.932
bir,28.4435
bongaigaon,32.628
brahmapur,29.772001
budaun,29.513
bulandshahr,30.543499
burhanpur,29.711
byatarayanpur,28.241499
calicut,29.6015
cannanore,28.822
cawnpore,28.685
chakradharpur,31.497
chanda,29.6845
chandannagar,32.6175
chandigarh,31.380499
chapra,31.837
chas,31.644
chennai,31.313
chhatarpur,29.2025
chhindwara,27.9675
chicacole,30.387
chinchvad,28.065
chirala,32.3675
chitaldrug,28.046999
chittandikavundanur,30.91
chittoor,33.147003
coimbatore,29.7335
conjeeveram,32.626
cuddalore,32.7305
cuddapah,32.742
cuttack,31.6435
dam dam,32.6545
darbhanga,32.213
dasarhalli,28.274
davangere,28.7005
dehra dun,28.9115
dehri,31.4545
delhi cantonment,30.8435
delhi,30.793
deo,32.066498
deoghar,31.413
dewas,29.4545
dhanbad,31.2155
dhulia,29.790499
dinapore,32.0065
dindigul,36.760998
drabar,19.949001
drug,29.3785
durgapur,32.183
ellore,31.4805
erode,35.453503
etah,29.175999
etawah,29.322
faridabad,30.491
farrukhabad,28.991499
fatehpur,29.513
fyzabad,30.098
gadag,28.365
gadda madiral,30.2845
ganganagar,30.7305
gaya,31.9825
ghandinagar,30.0045
ghaziabad,30.728498
godhra,30.111
gokak,28.329
gorakhpur,30.7
gulbarga,28.884499
guna,29.937
guntur,32.037
gurgaon,30.667
guwahati,32.1625
gwalior,29.7435
habra,32.85
haldia,31.4435
handwara,26.178999
hanumangarh,30.737
haora,32.624
hapur,31.167501
haridwar,31.6915
hazaribagh,29.032
himatnagar,30.667501
hindupur,31.389
hisar,31.437
hoshangabad,29.2825
hospet,30.2925
hosur,28.936499
hugli,32.6175
hyderabad,28.921001
ichalkaranji,28.1955
imphal,28.883999
indore,28.687
ingraj bazar,32.9
jabalpur,29.0175
jaipur,29.755001
jalandhar,30.663
jalgaon,29.758501
jalna,28.717001
jamshedpur,31.831999
jaunpur,31.374
jind,31.111
jodhpur,32.211
junagadh,27.8225
kaithal,31.043499
kakinada,30.4435
kalamboli,29.767
kalkaji devi,30.357
kamarhati,32.6305
kanchrapara,32.6675
kapra,28.667501
karaikkudi,34.007
karimnagar,29.3915
karnal,30.9935
karur,35.703503
katri,29.399
khammam,31.226
khandwa,29.529999
khanna,30.7695
kharagpur,32.067497
khatima,30.720001
kichha,30.6995
kiratot,22.661
kochi,28.157
koiridih,31.0285
kolar,29.593
kolhapur,27.923
kolkata,32.6545
korba,28.8005
kota,30.921001
kotdwara,31.329498
kottayam,29.9455
krishnanagar,33.017498
kukatpalli,28.4545
kumbakonam,34.2045
kurnool,30.041
lingampalli,28.489
loni,30.863
lucknow,29.0
ludhiana,30.972
machilipatnam,30.543499
madanapalle,30.114
madhyamgram,32.637
madurai,38.055
mahad,29.998
mahbubnagar,28.723001
mahesana,30.4525
maldah,32.9065
maler kotla,30.8825
malkajgiri,28.739
mandsaur,29.567501
mandvi,29.351
mandya,30.9345
mangalore,28.2955
masaurhi buzurg,32.013
mathura,30.036999
mau,31.4805
mauli,31.2565
meerut,31.0175
mirzapur,30.85
moga,30.7825
mokameh,32.641502
monghyr,32.341503
moradabad,30.828499
morbi,29.8605
morena,29.311
mothihari,32.091
mukerian,30.780499
multai,26.484999
mumbai,28.6995
muzaffarpur,32.1045
nadiad,30.087
nagercoil,34.3865
nagpur,29.085
naihati,32.624
najafgarh,31.087
nalgonda,30.9155
nanded,28.140999
nandyal,30.7265
nangloi jat,31.085
narela,30.9415
narnaul,30.6455
nasik,27.363
nellore,34.726
new delhi,30.8825
neyveli,34.3
nizamabad,28.5345
noida,30.5975
nowgong,32.3115
ongole,33.0565
orai,28.880499
oulgaret,33.531002
padiala,31.0585
palghat,31.451
pali,32.1
pallavaram,31.320002
panchkula,31.361
pandharpur,29.515001
pandhurna,28.0475
panihati,32.624
panipat,31.111
panvel,29.2675
parbhani,28.189499
pathankot,30.5975
pathardi,28.227001
patiala,30.813
patna,31.8415
petlad,29.913
prayagraj,30.8045
proddatur,32.5695
puducherry,32.389
pulimaddi,30.7265
pune,28.364
puri,28.7915
quilon,28.824001
rae bareli,29.7
raichur,29.5395
raiganj,33.026
raipur,29.633
rajahmundry,31.065
rajapalaiyam,37.2765
rajendranagar,28.634499
rajkot,29.474
ramgundam,30.362501
rampur,30.748
ranchi,28.6085
rasulpur,30.5975
ratlam,29.048
ratnagiri,27.6035
raurkela,31.072
rewa,30.13
rewari,31.411001
