city_names,temp
abohar,36.787
adoni,31.6455
agartala,32.137
agra,33.646
agwar,33.646
ahmadnagar,29.536
ahmedabad,32.874
aizawl,25.277
ajmer,31.86
akola,32.0565
alasandigutta,31.613
aligarh,34.0065
alleppey,27.159
alwal,30.439
alwar,33.712
ambattur,32.9675
amravati,32.104
amritsar,34.9545
amroha,33.3955
anand,32.987
anantapur,31.915
arrah,29.563
asansol,31.7325
aurangabad,29.373001
avadi,32.972
bada barabil,29.392
baharampur,31.4435
bahraigh,30.6805
bali,31.8065
bangalore,26.446
bankura,32.078
barakpur,32.2805
baramula,28.3965
barasat,32.287
barddhaman,31.0065
bareilly,33.4655
batala,33.695503
beawar,32.128
bellary,31.070501
betigeri,28.382
bettiah,29.432499
bhadravati,25.643
bhagalpur,31.67
bhalswa jahangirpur,35.063
bhangar,31.317501
bharatpur,33.9695
bharuch,32.4065
bhatinda,35.5695
bhatpara,32.1935
bhavnagar,34.5525
bhayandar,28.2965
bhilai,32.921497
bhilai01,32.086998
bhilwara,31.0475
bhimavaram,34.9805
bhind,33.724
bhiwandi,28.6565
bhiwani,36.737
bhopal,29.681
bhubaneshwar,33.6525
bhusaval,32.485
bidar,30.0685
bihar,31.0045
bijapur,29.9655
bikaner,38.296
bilaspur,32.281998
bir,32.7435
bongaigaon,30.078
brahmapur,33.872
budaun,33.763
bulandshahr,34.1435
burhanpur,32.260998
byatarayanpur,26.6415
calicut,27.8015
cannanore,27.722
cawnpore,33.585003
chakradharpur,31.697
chanda,32.1345
chandannagar,32.1675
chandigarh,32.5305
chapra,29.987
chas,31.994001
chennai,32.813
chhatarpur,31.3025
chhindwara,29.4675
chicacole,33.387
chinchvad,26.615
chirala,34.6175
chitaldrug,24.497
chittandikavundanur,27.210001
chittoor,32.247
coimbatore,29.6335
conjeeveram,33.526
cuddalore,34.1305
cuddapah,33.342003
cuttack,34.1935
dam dam,31.3045
darbhanga,29.963001
dasarhalli,26.674002
davangere,27.1505
dehra dun,29.2115
dehri,29.0545
delhi cantonment,34.6435
delhi,34.643
deo,29.716501
deoghar,30.213001
dewas,28.904501
dhanbad,31.3155
dhulia,32.3405
dinapore,29.6565
dindigul,35.611
drabar,22.899
drug,32.2285
durgapur,31.682999
ellore,34.2805
erode,36.1035
etah,33.776
etawah,33.472
faridabad,34.791
farrukhabad,33.9415
fatehpur,32.613
fyzabad,29.048
gadag,28.265001
gadda madiral,31.9345
ganganagar,37.1305
gaya,28.432499
ghandinagar,31.904501
ghaziabad,34.5285
godhra,31.211
gokak,28.579
gorakhpur,29.0
gulbarga,31.2845
guna,29.837
guntur,33.787
gurgaon,34.767002
guwahati,30.2125
gwalior,32.8435
habra,32.3
haldia,30.7435
handwara,27.928999
hanumangarh,37.387
haora,31.774
hapur,34.017498
haridwar,32.1915
hazaribagh,27.032
himatnagar,31.167501
hindupur,29.239
hisar,37.987
hoshangabad,31.182499
hospet,29.6925
hosur,28.036499
hugli,32.1675
hyderabad,30.171001
ichalkaranji,27.4955
imphal,27.484
indore,28.137
ingraj bazar,31.4
jabalpur,30.917501
jaipur,32.205
jalandhar,34.263
jalgaon,32.5585
jalna,30.617
jamshedpur,31.081999
jaunpur,27.874
jind,35.711
jodhpur,35.661
junagadh,28.9225
kaithal,34.6935
kakinada,34.9935
kalamboli,28.617
kalkaji devi,34.607
kamarhati,31.8305
kanchrapara,31.8675
kapra,30.5175
karaikkudi,35.507
karimnagar,31.991499
karnal,33.9935
karur,35.453503
katri,30.449
khammam,33.626
khandwa,30.33
khanna,33.8695
kharagpur,31.567501
khatima,31.27
kichha,32.849503
kiratot,24.711
kochi,26.957
koiridih,30.6785
kolar,28.643
kolhapur,26.373001
kolkata,31.3045
korba,32.400497
kota,32.421
kotdwara,31.579498
kottayam,27.595499
krishnanagar,31.4675
kukatpalli,30.2045
kumbakonam,34.7045
kurnool,32.491
lingampalli,29.639
loni,34.813
lucknow,32.75
ludhiana,34.322002
machilipatnam,34.0935
madanapalle,29.114
madhyamgram,31.837
madurai,35.855
mahad,28.898
mahbubnagar,29.723001
mahesana,32.6025
maldah,31.4065
maler kotla,34.3325
malkajgiri,30.588999
mandsaur,29.1175
mandvi,28.251
mandya,29.0845
mangalore,27.1455
masaurhi buzurg,29.813
mathura,34.086998
mau,27.530499
mauli,32.7065
meerut,34.017498
