city_names,temp
abohar,32.037
adoni,37.0955
agartala,32.687
agra,34.196
agwar,34.196
ahmadnagar,34.385998
ahmedabad,38.073997
aizawl,28.227001
ajmer,33.66
akola,36.3565
alasandigutta,37.063
aligarh,33.0065
alleppey,32.659
alwal,34.139
alwar,34.462
ambattur,31.667501
amravati,34.904
amritsar,29.3545
amroha,31.845499
anand,38.487
anantapur,37.614998
arrah,34.063
asansol,34.8825
aurangabad,35.773
avadi,32.772
bada barabil,34.342003
baharampur,35.3435
bahraigh,32.330498
bali,35.9065
bangalore,32.396
bankura,35.628
barakpur,35.6805
baramula,13.046499
barasat,35.487
barddhaman,34.6065
bareilly,32.7155
batala,29.595499
beawar,34.028
bellary,36.8705
betigeri,34.432
bettiah,33.5825
bhadravati,35.193
bhagalpur,33.37
bhalswa jahangirpur,32.763
bhangar,35.317497
bharatpur,34.2195
bharuch,38.4065
bhatinda,31.2695
bhatpara,34.9435
bhavnagar,36.2525
bhayandar,37.8465
bhilai,34.6215
bhilai01,34.537
bhilwara,34.5475
bhimavaram,35.4805
bhind,34.724
bhiwandi,39.5065
bhiwani,32.987
bhopal,33.631
bhubaneshwar,36.5525
bhusaval,37.635002
bidar,33.8685
bihar,34.254498
bijapur,35.7655
bikaner,35.146
bilaspur,34.382
bir,35.3935
bongaigaon,29.477999
brahmapur,33.672
budaun,32.113
bulandshahr,33.1935
burhanpur,36.861
byatarayanpur,32.4915
calicut,32.4515
cannanore,32.422
cawnpore,34.385002
chakradharpur,35.247
chanda,36.7345
chandannagar,34.9175
chandigarh,30.4805
chapra,33.137
chas,34.244003
chennai,30.513
chhatarpur,34.3025
chhindwara,32.517498
chicacole,32.336998
chinchvad,34.715
chirala,32.4175
chitaldrug,33.747
chittandikavundanur,38.66
chittoor,35.547
coimbatore,35.4835
conjeeveram,33.576
cuddalore,30.9305
cuddapah,38.792
cuttack,35.7435
dam dam,35.304497
darbhanga,33.663002
dasarhalli,32.524
davangere,35.0505
dehra dun,27.3615
dehri,34.4545
delhi cantonment,32.2935
delhi,33.043003
deo,34.1665
deoghar,33.263
dewas,33.554497
dhanbad,33.9155
dhulia,37.440502
dinapore,33.4565
dindigul,35.411
drabar,11.299
drug,33.9285
durgapur,34.833
ellore,37.2305
erode,38.0535
etah,33.626
etawah,34.122
faridabad,33.391
farrukhabad,32.9915
fatehpur,34.713
fyzabad,33.748
gadag,34.315
gadda madiral,36.7345
ganganagar,32.9305
gaya,34.7825
ghandinagar,37.6545
ghaziabad,32.7785
godhra,36.060997
gokak,35.229
gorakhpur,33.1
gulbarga,36.0845
guna,33.336998
guntur,36.887
gurgaon,31.817001
guwahati,32.0125
gwalior,35.5435
habra,35.1
haldia,32.9435
handwara,12.379001
hanumangarh,33.336998
haora,35.624
hapur,31.917501
haridwar,30.6415
hazaribagh,31.882
himatnagar,37.2175
hindupur,35.589
hisar,32.586998
hoshangabad,35.3825
hospet,36.5925
hosur,32.086502
hugli,34.9175
hyderabad,35.471
ichalkaranji,35.1455
imphal,29.984
indore,33.237
ingraj bazar,33.9
jabalpur,33.6675
jaipur,33.905
jalandhar,29.463001
jalgaon,37.5085
jalna,35.967
jamshedpur,35.281998
jaunpur,34.674
jind,32.010998
jodhpur,35.560997
junagadh,37.322502
kaithal,30.9435
kakinada,33.8935
kalamboli,39.567
kalkaji devi,33.007
kamarhati,35.7305
kanchrapara,34.517498
kapra,34.9675
karaikkudi,34.357
karimnagar,36.1915
karnal,30.4935
karur,37.153503
katri,33.149
khammam,37.026
khandwa,36.030003
khanna,30.5195
kharagpur,36.567497
khatima,32.07
kichha,32.6495
kiratot,17.361
kochi,31.257
koiridih,33.2285
kolar,31.843
kolhapur,35.673
kolkata,35.304497
korba,34.450497
kota,35.271
kotdwara,29.329498
kottayam,36.5955
krishnanagar,34.317497
kukatpalli,34.754498
kumbakonam,35.304497
kurnool,37.791
lingampalli,34.889
loni,32.363
lucknow,34.25
ludhiana,29.972
machilipatnam,33.8935
madanapalle,32.814
madhyamgram,35.737
madurai,36.405
mahad,40.198
mahbubnagar,35.173
mahesana,37.2525
maldah,33.9065
maler kotla,30.9825
malkajgiri,35.039
mandsaur,34.7175
mandvi,37.801003
mandya,34.684498
mangalore,32.945503
masaurhi buzurg,34.813
mathura,33.387
mau,33.8805
mauli,30.5065
meerut,31.2675
mirzapur,34.65
moga,30.0325
mokameh,33.4415
monghyr,33.0415
moradabad,32.7785
morbi,37.0605
morena,34.961
mothihari,32.841
mukerian,28.530499
multai,31.234999
mumbai,34.849503
muzaffarpur,33.254498
nadiad,37.937
nagercoil,36.536503
nagpur,35.435
naihati,34.924
najafgarh,31.786999
nalgonda,36.7155
nanded,37.190998
nandyal,38.8765
nangloi jat,32.235
narela,32.141502
narnaul,34.6455
nasik,34.413002
nellore,33.226
new delhi,32.8825
neyveli,34.25
nizamabad,35.9845
noida,33.2475
nowgong,31.261501
ongole,33.5565
orai,35.0305
oulgaret,31.681
padiala,30.8585
palghat,38.851
pali,35.25
pallavaram,31.470001
panchkula,30.461
pandharpur,37.164997
pandhurna,33.5475
panihati,35.724
panipat,30.761
panvel,39.5675
parbhani,37.0395
pathankot,28.6475
pathardi,35.027
patiala,31.013
patna,33.2415
petlad,38.713
prayagraj,34.6545
proddatur,39.3195
puducherry,30.439
pulimaddi,38.8765
pune,34.913998
puri,27.3415
quilon,33.174
rae bareli,35.1
raichur,35.8895
raiganj,34.176003
raipur,34.833
rajahmundry,36.465
rajapalaiyam,35.476498
rajendranagar,34.8845
rajkot,36.924
ramgundam,36.8125
rampur,33.048
ranchi,31.6085
rasulpur,33.2475
ratlam,34.698
ratnagiri,35.0535
raurkela,35.972
rewa,33.88
rewari,32.661
robertsonpet,31.816
rudarpur,31.731998
saharanpur,30.991
saharsa,33.7935
salem,37.113
salt lake city,35.323997
sambalpur,36.195503
sambhal,31.439
sangli,35.531998
sannai,34.776
sardarshahr,34.776
sasaram,35.038498
satna,34.7565
saugor,33.6865
secunderabad,35.0065
shahjanpur,32.080498
shantipur,33.7935
shiliguri,28.4135
shillong,23.398
shimla,17.473999
shimoga,34.601997
shivpuri,34.315502
shorapur,36.3195
shrirampur,35.5935
sikandarabad,33.260998
sikar,34.482
silchar,32.3765
sirsa,32.573997
sirur,34.9315
sitarganj,32.440002
siwan,33.7065
solapur,36.422
songadh,37.466
sonipat,32.161
sonpur,33.017498
soro,36.361
srinagar,13.3315
sultanpur mazra,32.248
surat,38.760998
tambaram,32.426003
tanjore,35.5305
tenali,36.4915
thane,39.567
tharad,36.846
thiruvananthapuram,32.718998
tiptur,32.113
tiruppur,37.302998
tiruvannamalai,34.9545
tiruvottiyur,30.85
titagarh,35.674
trichinopoly,36.0005
trichur,38.4435
tumkur,32.63
tuticorin,30.6065
udaipur,33.752502
udipi,33.48
ujjain,34.026
ulhasnagar,39.567
uluberiya,35.7065
umreth,38.060997
unnao,33.6175
uttarpara,35.8805
vadodara,38.3675
valsad,36.7
varanasi,34.6
vasai,33.985
vellore,35.021
vidisha,34.341503
vijayawada,36.735
vishakhapatnam,32.799503
vizianagaram,34.9305
wapi,37.3545
warangal,36.408497
waraseoni,34.674
yamunanagar,30.946
